CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8441","FNAR 117","2","3D Design","3","","Lab","TR","1030-1250","FERG A192","Henry, Gregory","1","Open",
"8442","FNAR 118","1","2D Design","3","","Lab","MW","1030-1250","FERG T195","Brahe, Christian","0","Closed",
"8443","FNAR 118","2","2D Design","3","","Lab","TR","1400-1620","FERG T198","Stephenson, Barbara","0","Closed",
"8444","FNAR 121","1","Drawing I","3","","Lab","MW","0800-1020","FERG T195","Brahe, Christian","0","Closed",
"8445","FNAR 128","1","Introduction to Digital Media","3","  AICE","Lab","MW","1030-1250","FERG A182","Skees, Alan","1","Open",
"9205","FNAR 201","1","World Art in Context I","3","  AICE","Lec","TR","1500-1615","FERG 201","Moran, Elizabeth","0","Closed",
"9206","FNAR 201","2","World Art in Context I","3","  AICE","Lec","TR","1630-1745","FERG 201","Moran, Elizabeth","6","Open",
"8632","FNAR 201","3","World Art in Context I","3","  AICE","Lec","TR","0930-1045","MCM 101","Motta, Rosa","29","Open",
"8633","FNAR 201","4","World Art in Context I","3","  AICE","Lec","TR","1330-1445","MCM 312","Richardson, Margaret","2","Open",
"8435","FNAR 202","1","World Arts in Context II","3","  AICE","Lec","TR","1330-1445","FERG 201","Erhardt, Michelle","19","Open",
"8448","FNAR 202","2","World Arts in Context II","3","  AICE","Lec","TR","1100-1215","FERG 201","Erhardt, Michelle","1","Open",
"8450","FNAR 202","4","World Arts in Context II","3","  AICE","Lec","MWF","1100-1150","FERG 201","Richardson, Margaret","0","Closed",
"8451","FNAR 205","1","Digital Photography","3","  AICE","Lab","TR","0800-1020","FERG A182","Skees, Kristin","0","Closed",
"8452","FNAR 227","1","Darkroom Photography","3","","Lab","TR","1030-1250","FERG T191","Bavaria, Christopher","0","Closed",
"8453","FNAR 241","1","Ceramics I","3","  AICE","Lab","TR","0800-1030","FERG A195","Henry, Gregory","0","Closed",
"8454","FNAR 241","2","Ceramics I","3","  AICE","Lab","TR","1400-1620","FERG A195","Henry, Gregory","0","Closed",
"8455","FNAR 252","1","Printmaking I","3","","Lab","MW","1400-1620","FERG T198","Skees, Alan","0","Closed",
"8456","FNAR 324","1","Advanced Painting","3","","Lab","TR","1400-1620","FERG T195","Harris, Christi","6","Open",
"8457","FNAR 327","1","Advanced Darkroom Photography","3","","Lab","TR","1400-1620","FERG T191","Bavaria, Christopher","0","Closed",
"8458","FNAR 331","1","Advanced Digital Photography","3","  AICE","Lab","TR","1030-1250","FERG A182","Skees, Kristin","4","Open",
"8436","FNAR 335","1","Graphic Design Processes","3","","Lab","MW","0800-1020","FERG A182","Skees, Alan","2","Open",
"8459","FNAR 341","1","Advanced Ceramics","3","","Lab","TR","1400-1620","FERG A195","Henry, Gregory","0","Closed",
"8460","FNAR 352","1","Advanced Printmaking","3","","Lab","MW","1400-1620","FERG T198","Skees, Alan","0","Closed",
"8438","FNAR 378","1","Baroque Art","3","  AICE","Lec","TR","0930-1045","FERG 201","Erhardt, Michelle","0","Closed",
"9204","FNAR 380","1","Caribbean Art","3","  AICE","Lec","MW","1600-1715","FERG 201","Moran, Elizabeth","0","Closed",
"9389","FNAR 395","S17","TC:Baroque Art","1","","Lec","","","ARR ","","0","Closed",
"9257","FNAR 401","1","IND ST: AWC Documentary","3","","Ind","","","ARR ","Skees, Kristin","0","Closed",
"9269","FNAR 401","2","IND ST: Darkroom Photography","3","","Ind","","","ARR ","Skees, Kristin","0","Closed",
"9270","FNAR 401","3","IND ST: Chemistry Documentary","3","","Ind","","","ARR ","Skees, Kristin","0","Closed",
"9368","FNAR 401","4","IND ST: Video Production","3","","Ind","","","ARR ","Skees, Kristin","0","Closed",
"9413","FNAR 401","5","IND ST: Infographics Design","3","","Ind","","","ARR ","Skees, Alan","0","Closed",
"8439","FNAR 402","1","Adv Studio Tps: Fiber Concepts","3","","Lab","MW","1030-1250","FERG A192","Lytle, Ryan","2","Open",
"8461","FNAR 490","1","WI: Senior Seminar in Art Hist","3","  WI","Lec","MWF","1200-1250","FERG 201","Richardson, Margaret","13","Open",
"9271","FNAR 491","1","PRT: Mariners Museum Photo Arc","3","","Pra","","","ARR ","Skees, Kristin","0","Closed",
"9273","FNAR 491","2","PRT: CNU Video Internship","3","","Pra","","","ARR ","Skees, Kristin","0","Closed",
"9367","FNAR 491","3","PRT: Printmaking Internship","3","","Pra","","","ARR ","Skees, Alan","0","Closed",
"9276","FNAR 499","1","IND ST: Baroque Art","3","","Ind","","","ARR ","Erhardt, Michelle","0","Closed",
"9282","FNAR 499","2","IND ST: Asian Art","3","","Ind","","","ARR ","Richardson, Margaret","0","Closed",
"9425","FNAR 499","3","IND ST: Museum Education","3","","Ind","","","ARR ","Erhardt, Michelle","0","Closed",
"8440","FNAR 538","1","Apprenticeship in Teaching Art","3","","Lec","TR","1630-1745","FERG T195","Stephenson, Barbara","4","Open",
"8634","FREN 102","1","Beginning French II","3","","Lec","MWF","0800-0850","MCM 216","Siewe Seuchie, Patricia","1","Open",
"8635","FREN 102","2","Beginning French II","3","","Lec","MWF","1100-1150","MCM 366","Siewe Seuchie, Patricia","0","Closed",
"8636","FREN 200","1","Eff Comm in French","3","  LLFL","Lec","MWF","1400-1450","MCM 207","Larson, Sharon","0","Closed",
"8637","FREN 200","2","Eff Comm in French","3","  LLFL","Lec","MWF","1500-1550","MCM 112","Benothmane, Najoua","1","Open",
"8638","FREN 200","3","Eff Comm in French","3","  LLFL","Lec","MWF","0800-0850","MCM 257","Benham-Langdon, Rebecca","0","Closed",
"8639","FREN 202","1","Intermediate French II","3","  LLFL","Lec","MWF","1200-1250","MCM 207","Larson, Sharon","3","Open",
"8640","FREN 302","1","Practical Conversation","3","  LLFL","Lec","MWF","1200-1250","MCM 200B","Mulryan, Michael","2","Open",
"8641","FREN 351","1","The Early Modern Era","3","  LLFL","Lec","MWF","1300-1350","MCM 200B","Mulryan, Michael","4","Open",
"9002","GEOG 210","1","Intro to Human Geography","3","","Lec","TR","1630-1745","LUTR 347","Pompeii, Brian","0","Closed",
"9003","GEOG 211","1","Geog of Human-Enviro Interact","3","  AINW","Lec","TR","1500-1615","FORBES 2070A","Finn, John","0","Closed",
"9004","GEOG 211","2","Geog of Human-Enviro Interact","3","  AINW","Lec","MWF","1200-1250","LUTR 131","Menhart, Dustin","0","Closed",
"9005","GEOG 308","1","The Urbanizing World","3","","Lec","TR","0800-0915","LUTR 167","Finn, John","0","Closed",
