CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8757","ENGL 522","ON1","Content Area Literacy","3","","Lec","T","1630-1915","SYN ","Smith, Danielle","7","Open",
"8075","ENGR 121","1M","Engineering Design","3","","Lec","TR","1100-1215","LUTR 242","Riedl, Anton","4","Open",
"8076","ENGR 121","2M","Engineering Design","3","","Lec","TR","0930-1045","LUTR 372","Gerousis, Costa","6","Open",
"9259","ENGR 210","1","Math Mthds-Engineers/Scientist","3","","Lec","TR","1330-1445","LUTR 121","Gerousis, Costa","0","Closed",
"8077","ENGR 211","ON1","Intro Electric Circuits/Electr","3","","Lec","TR","1100-1215","SYN ","Doost Mohammadi, Farideh","2","Open",
"8080","ENGR 211L","ON1","Intro Electric Circ/Electr Lab","1","","Lab","W","1800-2045","SYN ","Keshtkar Vanashi, Hessam","0","Closed",
"8079","ENGR 211L","ON2","Intro Electric Circ/Electr Lab","1","","Lab","R","1800-2045","SYN ","Wang, Dali","0","Closed",
"8081","ENGR 211L","ON3","Intro Electric Circ/Electr Lab","1","","Lab","W","1500-1745","SYN ","Wang, Dali","0","Closed",
"8082","ENGR 213","1","Discrete Structures-Comp Appl","3","","Lec","MWF","1400-1450","LUTR 269","Henry, Samuel","12","Open",
"8083","ENGR 213","2","Discrete Structures-Comp Appl","3","","Lec","MWF","1300-1350","LUTR 269","Henry, Samuel","5","Open",
"8865","ENVS 510","1","Biometry","3","","Lec","W","1730-2020","FORBES 3014","Lattanzio, Matthew","2","Open",
"8866","ENVS 518","1","Biologcl Consrvtn: Theory/Prac","3","","Lec","T","1730-2020","MCM 164","Steven, Janet","0","Closed",
"9298","ENVS 545","1","Mammalogy","4","","Lec","MWF","1100-1150","FORBES 2074","Sherwin, Richard","0","Closed",
"9299","ENVS 545L","1","Mammalogy Lab","0","","Lab","M","1300-1650","FORBES 2043","Sherwin, Richard","0","Closed",
"9434","ENVS 599","1","IND ST: Nutrient Autoanalyzer","1","","Ind","","","ARR ","Whiting, Gary","0","Closed",
"9454","ENVS 599","2","IND ST: Managing Envirn Conser","3","","Ind","","","ARR ","Atkinson, Robert","0","Closed",
"9455","ENVS 599","3","IND ST: Leaf Physiology","2","","Ind","","","ARR ","Steven, Janet","0","Closed",
"8868","ENVS 690","1","Evidence-based Decsn Making","3","","Lec","R","1730-2020","FORBES 2051","Whiting, Gary","9","Open",
"8869","ENVS 699","1","Thesis Research","1 - 6","","Ind","","","ARR ","Steven, Janet","8","Open",
"9329","EUPH 231","1","Applied Music: Euphonium","1","","Lab","","","ARR ","Cipriano, James","0","Closed",
"8194","FINC 210","ON1","Personal Finance","3","","Lec","TR","1800-1915","SYN ","Le Mons, Kathleen","0","Closed",
"8195","FINC 300","1","Managerial Finance","3","","Lec","MW","1800-1915","LUTR 123","Guha, Sanjib","0","Closed",
"8196","FINC 300","2","Managerial Finance","3","","Lec","MW","1930-2045","LUTR 123","Guha, Sanjib","3","Open",
"8197","FINC 324","ON1","Principles of Investment","3","","Lec","MWF","0800-0850","SYN ","Koch, Christian","0","Closed",
"8198","FINC 325","1","Mgmt of Financial Institutions","3","","Lec","TR","1630-1745","FORBES 2070C","Guha, Sanjib","3","Open",
